"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)","Category","Name","Number","Min","Max","Unit","Type","Operation"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"CONECUH","035",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","1","13.2",NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"CONECUH","035",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED","1","15.7",NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"CONECUH","035",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","6","55.7",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"CONECUH","035",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","6","52.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"MOBILE","097",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"MOBILE","097",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"MOBILE","097",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","3","55.7",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"MOBILE","097",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","3","52.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","3","55.7",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","3","52.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","1","47.6",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CALHOUN","015",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CALHOUN","015",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CALHOUN","015",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","2","55.7",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CALHOUN","015",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","2","52.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE","029",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE","029",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE","029",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","4","55.7",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE","029",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","4","52.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","8","13.2",NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED","9","15.7",NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED","1","(H)",NA,NA,NA,NA,NA,NA,"BEARING","ACRES NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","10","55.7",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","11","52.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","3","47.6",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"DE KALB","049",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","7","13.2",NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"DE KALB","049",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED","7","15.7",NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"DE KALB","049",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","6","55.7",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"DE KALB","049",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","6","52.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"JACKSON","071",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","1","13.2",NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"JACKSON","071",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED","1","15.7",NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"JACKSON","071",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","4","55.7",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"JACKSON","071",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","4","52.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"MARSHALL","095",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"MARSHALL","095",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"MARSHALL","095",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","2","55.7",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"MARSHALL","095",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","2","52.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR","115",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","10","13.2",NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR","115",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED","10","15.7",NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR","115",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","8","55.7",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR","115",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","8","52.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LAUDERDALE","077",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LAUDERDALE","077",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LAUDERDALE","077",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","2","55.7",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LAUDERDALE","077",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","2","52.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LIMESTONE","083",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LIMESTONE","083",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LIMESTONE","083",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","1","(L)",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LIMESTONE","083",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","1","(L)",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MADISON","089",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MADISON","089",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA,NA,NA,NA,"BEARING","ACRES NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MADISON","089",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","2","(L)",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MADISON","089",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","2","(L)",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","2","13.2",NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED","2","15.7",NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED","(Z)","(H)",NA,NA,NA,NA,NA,NA,"BEARING","ACRES NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","3","55.7",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","6","52.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","3","47.6",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA NON"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MORGAN","103",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","61","13.2",NA,NA,NA,NA,NA,NA,"BEARING","ACRES"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MORGAN","103",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED","61","15.7",NA,NA,NA,NA,NA,NA,NA,"ACRES GROWN"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MORGAN","103",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","13","55.7",NA,NA,NA,NA,NA,NA,"BEARING","OPERATIONS WITH AREA"
"CENSUS",2022,"YEAR",NA,"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MORGAN","103",NA,NA,"00000000",NA,"STRAWBERRIES","STRAWBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","13","52.7",NA,NA,NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN"
